Title,Date,Location,Department,Views,Amount(INR)
I paid 1000 INR for check Passport status,18-05-18,"Ahmedabad,Gujarat",Passport Status Enquiry,4826,1000
Paid a bribe of 25000 INR to get my property registered,17-05-18,"Bangalore,Karnataka",Registration of Property,4120,25000
Bribe comes as a rescue in the life of a common man,17-05-18,"Bangalore,Karnataka",Traffic Violations,3230,100
FOR EPF WITHDRAWL,17-05-18,"Raurkela,Orissa",Others,4556,3000
Paid Bribe For passport,17-05-18,"Nashik,Maharashtra",Police Verification for Passport,4355,300
Paid Bribe to for registration of property,14-05-18,"Bangalore,Karnataka",Registration of Property,3666,30000
Corruption by DGP and HUDA,12-05-18,"Faridabad,Haryana",Crime Incident,5006,6000
My fault,12-05-18,"Mumbai,Maharashtra",Traffic Violations,5013,100
Paid Bribe even when the verification officer was late,11-05-18,"Mumbai,Maharashtra",Police Verification for Passport,4871,200
Corruption and Process Failure in RTO Offices leads to disasters on Roads,10-05-18,"Bangalore,Karnataka",New Domestic Driving License,7011,100
Mandi police station passport verification constable took bribe,09-05-18,"Mysore,Karnataka",Police Verification for Passport,5563,500
At Diu Check Post,08-05-18,"Diu,DamanandDiu",False Allegations,4652,1000
Sadist government employee,07-05-18,"Hyderabad,Telangana",School or College Related Activities,5372,2000
Tilaknagar police officer asked for Fee while visited for passport verification,07-05-18,"Bangalore,Karnataka",Police Verification for Passport,5598,500
For passport,06-05-18,"Nalgonda,Telangana",New Passport Application,5211,500
Wrong Parking,03-05-18,"Bangalore,Karnataka",Traffic Violations,5009,500
File Number - LK2072110761218,02-05-18,"Kanpur,UttarPradesh",Police Verification for Passport,5418,2500
Bbmp occupancy certificate,01-05-18,"Bangalore,Karnataka",Residence Certificate,5536,500000
Bribe for Death Certificate,30-04-18,"Chennai,TamilNadu",Death certificate,5331,8000
Bribe paid to Police Team @ Alwar,30-04-18,"Alwar,Rajasthan",Traffic Violations,3975,700
"Bribe traffic cop at Dabolim airport, Goa",29-04-18,"Panaji,Goa",Airport facilities,5153,100
Payments of bribe,23-04-18,"Kanpur,UttarPradesh",Others,5587,10000
The Legal Charade,22-04-18,"Ramnagaram,Karnataka",Marriage Registration,4257,2000
Not having a hard copy of NOC certificate,21-04-18,"Pune,Maharashtra",NOC for Transfer of Vehicle Registration,4584,2500
I paid a bribe of 2000-sub-registra Moosapet,21-04-18,"Hyderabad,Telangana",Family Certificate,4993,2000
"I Paid Rs. 10 to New Domestic Driving License, in Amroha.",21-04-18,"Amroha,UttarPradesh",New Domestic Driving License,4545,10
They convicted my father in a fake complaint.,21-04-18,"Bangalore,Karnataka",Activities on Beat,3388,1000
Paid Rs.800 for Marriage certificate,19-04-18,"Bangalore,Karnataka",Marriage Certificate,4193,800
Family Member Certificate VRO asking Bribe,19-04-18,"Tenali,AndhraPradesh",Residence Certificate,4749,1000
Bribe for passport,19-04-18,"Aligarh,UttarPradesh",Birth Certificate,5228,400
Bribe to pay property tax dues,19-04-18,"Chennai,TamilNadu",Property Tax,4631,2000
Asked bribe to deliver letter,19-04-18,"NewDelhi,Delhi",Delivery of Letters and other Post,4550,500
Moving household things,18-04-18,"Bangalore,Karnataka",Arrested by Police,2527,500
"Name I don't know 13th March 2017, 15.30 hours, Rajajinagar, Births…",17-04-18,"Bangalore,Karnataka",Birth Certificate,3822,1000
Paid 1000 Rs as bribe for reconnection of my electricity,16-04-18,"Bangalore,Karnataka",Reconnection of Electricity,4686,1000
Bribe to airport officer,13-04-18,"Kolkata,WestBengal",Immigration Check,5518,12000
He want 6000 rs for claim our pf. Otherwise not get,13-04-18,"Pune,Maharashtra",Provident Fund,6106,6000
Corrupt bbmp employee,12-04-18,"Bangalore,Karnataka",New Khata Certificate,5061,50000
"I Paid Rs. 180 to Traffic Violations, in Ahwa.",11-04-18,"Ahwa,Gujarat",Traffic Violations,3174,180
Paid bribe for marriage Certificated in Sub-registrar office (Kormangala),10-04-18,"Bangalore,Karnataka",Marriage Certificate,4293,1000
Paid bribe to SI for doing his duty,10-04-18,"Belgaum,Karnataka",Police Investigation,5310,250000
Tax Residency Certificate Issue,10-04-18,"Hyderabad,Telangana",Assessment,6066,25000
No Driving License... Rs.100/-,09-04-18,"Ahmedabad,Gujarat",Traffic Violations,4938,100
Paid a bribe for traffic violation,08-04-18,"NewDelhi,Delhi",Traffic Violations,3262,400
Worst cops at subramanya pura police station,06-04-18,"Bangalore,Karnataka",Police Investigation,3577,10000
Paid bribe for Police verification at Gaya Civil Line.,06-04-18,"Gaya,Bihar",Police Verification for Passport,3920,550
Bribe to Post office personnel,05-04-18,"Mumbai,Maharashtra",Change of Address,5594,200
Wanted to impose their authority,04-04-18,"Hyderabad,Telangana",Construction Permit,4783,2500
Policeofficerdid not given the reciept of fine,01-04-18,"Pune,Maharashtra",Traffic Violations,4661,1000
Orient Tiles,31-03-18,"NewDelhi,Delhi",Others,4472,200000
Bribe for transfer of gas connection,29-03-18,"Mumbai,Maharashtra",Subversion of norms,5454,500
"I Paid Rs. 2000 to Registration of Property, in Bangalore.",28-03-18,"Bangalore,Karnataka",Registration of Property,4874,2000
Paid to write challan,28-03-18,"Ponda,Goa",License Renewal,5470,100
"Pay more than 10 Lac Bribe for procuring an Admission in HR @ XISS, Ranchi",28-03-18,"Ranchi,Jharkhand",Admission to College,6416,1000000
"Food license modification bribe, Pune",27-03-18,"Pune,Maharashtra",Food License,6169,5000
"Gave 200Rs, that PVO asked for as Service Charge, as Bribe.",27-03-18,"Chennai,TamilNadu",Police Verification for Passport,4188,200
"I Paid Rs. 300 to Filing FIR, in Bangalore.",26-03-18,"Bangalore,Karnataka",Filing FIR,3065,300
"I Paid Rs. 100 to Registration of Vehicle, in Bangalore.",25-03-18,"Bangalore,Karnataka",Registration of Vehicle,5058,100
"I Paid Rs. 500 to Filing FIR, in Bangalore.",25-03-18,"Bangalore,Karnataka",Filing FIR,3209,500
For Aadhaar update,24-03-18,"Eluru,AndhraPradesh",Others,4790,100
"I Paid Rs. 1000 to Police Verification for Passport, in Bidar.",24-03-18,"Bidar,Karnataka",Police Verification for Passport,3430,1000
Beating with a Stick,24-03-18,"Bangalore,Karnataka",Lodging Police Complaint,2928,10000
"I Paid Rs. 60000 to Registration of Property, in Karnal.",24-03-18,"Karnal,Haryana",Registration of Property,4574,60000
"I Paid Rs. 200 to Traffic Violations, in Bangalore.",24-03-18,"Bangalore,Karnataka",Traffic Violations,2803,200
"I Paid Rs. 200 to Traffic Violations, in Bangalore.",23-03-18,"Bangalore,Karnataka",Traffic Violations,2622,200
"I Paid Rs. 1000 to Traffic Violations, in Bangalore.",23-03-18,"Bangalore,Karnataka",Traffic Violations,3496,1000
"I Paid Rs. 200 to Police Verification for Passport, in Bangalore.",23-03-18,"Bangalore,Karnataka",Police Verification for Passport,2642,200
"I Paid Rs. 35000 to Registration of Property, in Bangalore.",23-03-18,"Bangalore,Karnataka",Registration of Property,4476,35000
"I Paid Rs. 35000 to Registration of Property, in Bangalore.",23-03-18,"Bangalore,Karnataka",Registration of Property,4180,35000
"I Paid Rs. 32000 to Registration of Property, in Bangalore.",23-03-18,"Bangalore,Karnataka",Registration of Property,3999,32000
"I Paid Rs. 32000 to Registration of Property, in Bangalore.",23-03-18,"Bangalore,Karnataka",Registration of Property,3826,32000
"I Paid Rs. 500 to Traffic Violations, in Bangalore.",23-03-18,"Bangalore,Karnataka",Traffic Violations,3035,500
"I Paid Rs. 14000 to Registration of Property, in Bangalore.",23-03-18,"Bangalore,Karnataka",Registration of Property,3703,14000
"I Paid Rs. 600 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,2709,600
"I Paid Rs. 600 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,2614,600
"I Paid Rs. 400 to Police Harassment, in Bangalore.",22-03-18,"Bangalore,Karnataka",Police Harassment,2265,400
"I Paid Rs. 400 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1931,400
"I Paid Rs. 400 to Police Verification for Passport, in Bangalore.",22-03-18,"Bangalore,Karnataka",Police Verification for Passport,1843,400
"I Paid Rs. 100 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1889,100
"I Paid Rs. 500 to Police Verification for Passport, in Udupi.",22-03-18,"Udupi,Karnataka",Police Verification for Passport,4487,500
"I Paid Rs. 500 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,2428,500
"I Paid Rs. 300 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1817,300
"I Paid Rs. 300 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1842,300
"I Paid Rs. 2500 to Registration of Property, in Bangalore.",22-03-18,"Bangalore,Karnataka",Registration of Property,3228,2500
"I Paid Rs. 200 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1526,200
"I Paid Rs. 300 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1632,300
"I Paid Rs. 200 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1154,200
"I Paid Rs. 22500 to Registration of Property, in Bangalore.",22-03-18,"Bangalore,Karnataka",Registration of Property,2505,22500
"I Paid Rs. 1 to Traffic Violations, in Bangalore.",22-03-18,"Bangalore,Karnataka",Traffic Violations,1013,1
"I Paid Rs. 125 to New Domestic Driving License, in Bellary.",22-03-18,"Bellary,Karnataka",New Domestic Driving License,4681,125
"I Paid Rs. 15000 to Registration of Property, in Bangalore.",22-03-18,"Bangalore,Karnataka",Registration of Property,2199,15000
"I Paid Rs. 100 to Registration of Property, in Aurangabad.",22-03-18,"Aurangabad,Maharashtra",Registration of Property,2174,100
"I Paid Rs. 500 to Police Verification for Passport, in Bangalore.",22-03-18,"Bangalore,Karnataka",Police Verification for Passport,1174,500
"I Paid Rs. 8800 to Registration of Property, in Haveri.",22-03-18,"Haveri,Karnataka",Registration of Property,2048,8800
"I Paid Rs. 100 to Registration of Property, in Chitradurga.",22-03-18,"Chitradurga,Karnataka",Registration of Property,3225,100
"I Paid Rs. 25000 to Registration of Vehicle, in Bangalore.",22-03-18,"Bangalore,Karnataka",Registration of Vehicle,4660,25000
"I Paid Rs. 200 to Traffic Violations, in Bangalore.",21-03-18,"Bangalore,Karnataka",Traffic Violations,1894,200
"I Paid Rs. 25000 to Registration of Property, in Bangalore.",21-03-18,"Bangalore,Karnataka",Registration of Property,2778,25000
"I Paid Rs. 500 to Traffic Violations, in Bangalore.",21-03-18,"Bangalore,Karnataka",Traffic Violations,2117,500
"I Paid Rs. 100 to Traffic Violations, in Bangalore.",21-03-18,"Bangalore,Karnataka",Traffic Violations,2259,100
Constable demanded a bribe to clear the police verification report though everything was right,21-03-18,"Satara,Maharashtra",Police Verification for Passport,3063,500
"I Paid Rs. 98 to Traffic Violations, in Abohar.",20-03-18,"Abohar,Punjab",Traffic Violations,4189,98
"I Paid Rs. 5000 to Registration of Property, in Bangalore.",20-03-18,"Bangalore,Karnataka",Registration of Property,3425,5000
Paid bribe to the Office Of The Sub Registrar through the builder,20-03-18,"Bangalore,Karnataka",Registration of Flat or Apartment,4615,16000
"I Paid Rs. 300 to Traffic Violations, in Bangalore.",20-03-18,"Bangalore,Karnataka",Traffic Violations,2165,300
"I Paid Rs. 5000 to New Domestic Driving License, in Bangalore.",20-03-18,"Bangalore,Karnataka",New Domestic Driving License,4258,5000
Cop asking for favours,19-03-18,"Rajkot,Gujarat",Police Harassment,2680,7000
"I Paid Rs. 1000 to Traffic Violations, in Abhayapuri.",19-03-18,"Abhayapuri,Assam",Traffic Violations,4880,1000
"I Paid Rs. 250 to Customs Check and Clearance, in Abhayapuri.",19-03-18,"Abhayapuri,Assam",Customs Check and Clearance,5758,250
"I Paid Rs. 2000 to Police Verification for Passport, in Kolkata.",19-03-18,"Kolkata,WestBengal",Police Verification for Passport,4646,2000
"I Paid Rs. 500 to Police Harassment, in Kharagpur.",18-03-18,"Kharagpur,Bihar",Police Harassment,2396,500
"I Paid Rs. 500 to Police Verification for Passport, in Thane.",18-03-18,"Thane,Maharashtra",Police Verification for Passport,4255,500
Paid 500 for passport police physical verification,17-03-18,"Bangalore,Karnataka",Police Verification for Passport,2558,500
For Disability Certificate,17-03-18,"Bangalore,Karnataka",Government Hospital,4979,200
Wanted to see all the registers,17-03-18,"Bangalore,Karnataka",Labour License Renewal,5138,5000
Would not accept legitimate expenses,17-03-18,"Bangalore,Karnataka",Filing Tax Returns,4999,40000
"I Paid Rs. 100 to Traffic Violations, in Chennai.",17-03-18,"Chennai,TamilNadu",Traffic Violations,3796,100
Wrongly asking for bribe for right documents,17-03-18,"Gandhidham,Gujarat",Customs Clearance of Import Shipment,5781,25000
"I Paid Rs. 700 to Traffic Violations, in Pune.",16-03-18,"Pune,Maharashtra",Traffic Violations,4380,700
"I Paid Rs. 500 to Police Verification for Passport, in Howrah.",16-03-18,"Howrah,WestBengal",Police Verification for Passport,5400,500
Copy Of RR connection :: Service Certificate,14-03-18,"Bangalore,Karnataka",New Connection for Houses,6438,150
"I Paid Rs. 500 to Police Verification for Passport, in Jaipur.",14-03-18,"Jaipur,Rajasthan",Police Verification for Passport,4725,500
"I Paid Rs. 15000 to Police Harassment, in Siliguri.",14-03-18,"Siliguri,WestBengal",Police Harassment,3131,15000
"I Paid Rs. 2000 to Police Harassment, in Abhayapuri.",14-03-18,"Abhayapuri,Assam",Police Harassment,4609,2000
"I Paid Rs. 10000 to Registration of Property, in Chennai.",14-03-18,"Chennai,TamilNadu",Registration of Property,4769,10000
Harassment by Officials in accident case,13-03-18,"NewDelhi,Delhi",Retrieval of lost items,3170,120000
Traffic police collection bribe,13-03-18,"Chennai,TamilNadu",Traffic Violations,3956,100
"I Paid Rs. 10 to Traffic Violations, in Srikakulam.",12-03-18,"Srikakulam,AndhraPradesh",Traffic Violations,2857,10
"I Paid Rs. 10 to Police Verification for Passport, in Amreli.",12-03-18,"Amreli,Gujarat",Police Verification for Passport,1964,10
Rubber Sheet,12-03-18,"Karimganj,Assam",Sales Tax Registration,5166,2000000
"I Paid Rs. 567876 to Police Verification for Passport, in Chikmagalur.",12-03-18,"Chikmagalur,Karnataka",Police Verification for Passport,3129,567876
Rto forcing people into bribery,11-03-18,"Pune,Maharashtra",Traffic Violations,4275,500
Rampart Money Collections from Local Business,10-03-18,"Mumbai,Maharashtra",Activities on Beat,4152,1800
Ration Official asks 3500 - 10000 for Name Addition,10-03-18,"Mumbai,Maharashtra",Adding Name to Ration Card,7227,3500
"Corruption in the DRM Office, North Central Railway, Allahabad",09-03-18,"Allahabad,UttarPradesh",Contract Work,6411,25000
Paid 25000 bribe,08-03-18,"Bangalore,Karnataka",Others,3910,25000
I paid 25000 bribe,08-03-18,"Bangalore,Karnataka",Land Acquisition,4195,25000
Asked for  certified copy of  Assessment register and  ownership.  paid  1500. yet  copies not given,07-03-18,"Bhainsa,Telangana",Assessment,4696,1500
Traffic Police Illegally Charging Fine and Not Providing Receipt,03-03-18,"Bangalore,Karnataka",Traffic Violations,2924,500
Dfv gbnmk bbvsbaa,02-03-18,"Abohar,Punjab",Airport facilities,5136,678
Paid bribe for construction projects,01-03-18,"Udupi,Karnataka",Public Works,6439,5000
Paid  to tax officer,01-03-18,"Abohar,Punjab",VAT Registration,6589,150000
BRIBE FOR CHANGE OF ADDRESS,28-02-18,"NaviMumbai,Maharashtra",Change of Address in Driving License,6277,900
Mechanical examination report,28-02-18,"Bongaigaon,Assam",Inspection of Vehicles after Accidents,4700,4000
Traffic signal violation,25-02-18,"Chennai,TamilNadu",Traffic Violations,4543,100
Barbie is being taken Due to verification,24-02-18,"NewDelhi,Delhi",Foreigner Registration and Verification,4323,2000
I entered no entry by mistake,23-02-18,"Bangalore,Karnataka",Traffic Violations,2859,200
Charged 400INR saying pillion rider did not wear helmet.,21-02-18,"Bangalore,Karnataka",Traffic Violations,2730,400
Had to pay Rs.150/- for a certificate of Rs.38/-,21-02-18,"Bangalore,Karnataka",Marriage Certificate,3641,150
Traffic violation Rajarajeshwari Nagar,20-02-18,"Bangalore,Karnataka",Traffic Violations,4097,100
Ek legal kam ko karbana k liye v risvat,19-02-18,"Vidisha,MadhyaPradesh",Fitness Certificate,5748,200
To attain A TP from forest offucial,19-02-18,"Guwahati,Assam",Check Post,5273,3000
Bribing maybe the only option,19-02-18,"Bangalore,Karnataka",Driving licence Process,3985,1000
Asked For Bribe just for police verification (passport),17-02-18,"Digboi,Assam",Police Verification for Passport,2767,500
Shout out for Kolkata police. They made our Valentineâs an unforgettable one.,15-02-18,"Kolkata,WestBengal",Arrested by Police,5252,2500
"Corrupted traffic police,,,",13-02-18,"Bangalore,Karnataka",Traffic Violations,2966,200
Bribe taken by Mr. UmmedSingh Lineman,13-02-18,"Sikar,Rajasthan",New Connection for Houses,5450,1500
Sim lost report,12-02-18,"Indore,MadhyaPradesh",Filing FIR,4780,50
Bribe for PID number,10-02-18,"Bangalore,Karnataka",Property Tax,5479,25000
Bribe to get PID number and Ekatha,10-02-18,"Bangalore,Karnataka",Property Tax Assessment,6264,20000
I paid a bribe to a traffic sub inspector,09-02-18,"Bangalore,Karnataka",Traffic Violations,2570,2200
I hate bribe,08-02-18,"Udaipur,Rajasthan",Police Verification for Passport,5092,200
Paid Bribe to police at JP Nagar Police Station,07-02-18,"Bangalore,Karnataka",Police Clearance Certificate,5096,500
Need immediate action,07-02-18,"Nizamabad,Telangana",Labour License Renewal,5585,10000
Percentage share,05-02-18,"Macherla,AndhraPradesh",Registration of Property,3941,5000
Bribe paid at customs exit point,04-02-18,"Hyderabad,Telangana",Customs,5286,3000
Bribe paid for Passport Verification by police,04-02-18,"Hyderabad,Telangana",Police Verification for Passport,12203,1000
SBOA demanding 2 lacs for admission into LKG,02-02-18,"Chennai,TamilNadu",Admission to School,5381,200000
Live bribe is going on,01-02-18,"Bangalore,Karnataka",Traffic Violations,2823,300
I this Bribe or the amount need to pay???,01-02-18,"Nagercoil,TamilNadu",Police Verification for Passport,4317,500
Bribe to get approval for setup of new RO,31-01-18,"Faridabad,Haryana",Others,5657,40000
A motorcyclist hit my stand still car and fell off,31-01-18,"Kolkata,WestBengal",Traffic Violations,4813,15000
No Ressid given.,29-01-18,"Raipur,Chhattisgarh",Traffic Violations,4761,200
Demanding money everymonth,29-01-18,"Marigaon,Assam",Food Supply,6881,1000
I Paid A Bribe,28-01-18,"NewDelhi,Delhi",Loan Sanctioning,5420,10000
Verification Fees,28-01-18,"Vadodara,Gujarat",Police Verification for Passport,4288,200
Khata bribe is rampant in all BBMP offices,26-01-18,"Bangalore,Karnataka",Khata Certificate,5929,10000
Police verification for passport,24-01-18,"Shimoga,Karnataka",Background or Personal Verification,4446,1000
Bribe Paid,23-01-18,"Ghaziabad,UttarPradesh",Police Verification for Passport,5948,1500
Milk the tourist,23-01-18,"Margao,Goa",Traffic Violations,4168,500
Not having my car papers,22-01-18,"NewDelhi,Delhi",Traffic Violations,4305,500
Had to pay bribe for each Driving Licence applications,20-01-18,"Jamshedpur,Jharkhand",Duplicate Driving License,4777,30
Paid bribe for house registration,20-01-18,"Bangalore,Karnataka",Transfer of Property,4186,18000
To get my FIR copy,19-01-18,"Proddatur,AndhraPradesh",Activities on Beat,4042,70
Bribe Paid to Sub Inspector Nagaraj,19-01-18,"Bangalore,Karnataka",Police Harassment,3341,200000
PUC issue,19-01-18,"Pune,Maharashtra",Traffic Violations,4676,450
Fees needed for signature,18-01-18,"Udumalaipettai,TamilNadu",Driving licence Process,4522,6400
Corruption,17-01-18,"Abohar,Punjab",Admission to College,5086,5000
Asanur Cheack point,17-01-18,"Gobichettipalayam,TamilNadu",False Allegations,2198,1000
All Proofs are Good. But they want Money.,16-01-18,"Tiruppur,TamilNadu",Police Verification for Passport,5362,300
Bribe for Address Change in Licence according to Aadhaar Card,16-01-18,"Tiruppur,TamilNadu",Change of Address in Driving License,5134,200
I have given a bribe for passport verification,15-01-18,"Karnal,Haryana",Police Verification for Passport,3192,500
Un-Necessary Harassment.,14-01-18,"Siliguri,WestBengal",Police Harassment,3581,1000
Corrupt Inspector,12-01-18,"Bangalore,Karnataka",New Borewell connection,6795,10000
Bibery done openly,12-01-18,"Coimbatore,TamilNadu",Learners License,4972,1500
Bribe for Khata Transfer,12-01-18,"Bangalore,Karnataka",Khata Transfer,3640,18000
Bribe paid for Passport Physical Verification,12-01-18,"Latur,Maharashtra",Police Verification for Passport,4560,1000
Food officer taken bribe from me,12-01-18,"Cuddalore,TamilNadu",To prevent shutdown of premises,5748,25000
I forcefully asked for Rs 6000 to get clearance on Passport,12-01-18,"NewDelhi,Delhi",Police Verification for Passport,4737,6000
Plan sanction bribe,11-01-18,"Bangalore,Karnataka",Building Construction Approval,4351,200000
Paid bribe to get back Two wheeler which got towed,11-01-18,"Bangalore,Karnataka",Traffic Violations,4002,500
Ravi at Banaswadi Police Station,10-01-18,"Bangalore,Karnataka",Lodging Police Complaint,4749,3000
I PAY 700 TO RAM NARESH BAGHEL (POLICE),09-01-18,"Indore,MadhyaPradesh",Police Verification for Passport,4780,700
Bribed a policeman for Police verification for passport,08-01-18,"Chennai,TamilNadu",Police Verification for Passport,4867,400
Police verification for passport,08-01-18,"Bangalore,Karnataka",Police Verification for Passport,3273,400
Paid Bribe to police at JP Nagar Police Station,07-01-18,"Bangalore,Karnataka",Police Verification for Passport,3181,200
False fir,07-01-18,"Kanpur,UttarPradesh",Police Harassment,4784,60000
Registration trasnfer from one state to another,05-01-18,"Pune,Maharashtra",Transfer of Vehicle Registration,5179,5000
Jumping Traffic Signak,05-01-18,"Bangalore,Karnataka",Traffic Violations,2111,300
I am looking to get a plot registered in Hoskote Taluk. The going…,04-01-18,"Bangalore,Karnataka",Others,4743,35000
"Paid bribe for Birth Certificate at  Dindigul, Tamil nadu",03-01-18,"Dindigul,TamilNadu",Birth Certificate,6133,500
Some Officer Name Chougala in Muncipal Corporation is Asking Bride…,02-01-18,"Vijaypur,Uttarakhand",Others,4702,100000
Earning money through malpractice,31-12-17,"Bangalore,Karnataka",Admission to College,4526,500000
Fined me for no reason whatsoever,31-12-17,"Chennai,TamilNadu",Activities on Beat,4104,200
Bribe for name correction on birth certificate,28-12-17,"Meerut,UttarPradesh",Birth Certificate,4991,500
"Ekhata for plot #133 NRI Delonix city , Hosakote,Bangalore",28-12-17,"Bangalore,Karnataka",New Khata Certificate,3822,8000
Asi harassment,27-12-17,"Bangalore,Karnataka",Activities on Beat,2847,10000
Bribe for verification,27-12-17,"Bangalore,Karnataka",Police Verification for Passport,2877,1000
Bellandur Police Asked for Verification Fee,26-12-17,"Bangalore,Karnataka",Police Verification for Passport,3702,600
Force to pay bribe & import tax by costom officer,26-12-17,"Bangalore,Karnataka",Excise Tax Collection,6828,13053
Passport verification bribe,26-12-17,"Chennai,TamilNadu",New Passport Application,4688,1000
Passport,25-12-17,"Kanpur,UttarPradesh",Police Investigation,4479,800
Bribe while Property Registration,25-12-17,"Bangalore,Karnataka",Registration of Property,4947,16000
Paid 500 s bribe for police verification,24-12-17,"Ghaziabad,UttarPradesh",Police Verification for Passport,5372,500
Association renewals certificate,23-12-17,"Bangalore,Karnataka",Assessment,4138,5000
No parking violation,23-12-17,"Bangalore,Karnataka",Traffic Violations,2085,200
Municipal authorities not approving Non-availablity of birth certificate in Kadiri,23-12-17,"Kadiri,AndhraPradesh",Non Availability Certificate,3990,2000
Amount demanded for electric connection.,22-12-17,"Sangli,Maharashtra",New Connection for Houses,4790,4000
Paid a bribe after blowing slightly over the drinking limit,22-12-17,"Bangalore,Karnataka",Traffic Violations,1900,3000
He demanded bribe for clearing the pcc.,22-12-17,"Mumbai,Maharashtra",Police Clearance Certificate,4116,500
Blatant Bribery and Corruption,21-12-17,"Thane,Maharashtra",Police Harassment,4077,2000
Registration Certificate under Karnataka Shops and Establishments Act,19-12-17,"Bangalore,Karnataka",New Labour License and Registration,5765,1500
Bribe di andhra bank manager ko,19-12-17,"Gurgaon,Haryana",Loan Sanctioning,5920,50000
Bribe paid for Meter replacement,19-12-17,"Madurai,TamilNadu",Meter Replacement,5822,1000
Bank corruption,18-12-17,"Bangalore,Karnataka",Loan Sanctioning,5318,2000
Madipakkam EB Office is demanding bribe,16-12-17,"Chennai,TamilNadu",Services like Movement of Poles and Wires,5166,35000
"Paid bribe to VAO, Madipakkam",16-12-17,"Chennai,TamilNadu",Patta Document,6144,15000
Sub Registrar too Bribe from me,16-12-17,"Chennai,TamilNadu",Registration of House,4609,15000
Bribe demanded for police verification for Passport,15-12-17,"Bangalore,Karnataka",Police Verification for Passport,2289,500
Peon asking for bribary,15-12-17,"Thrissur,Kerala",Land Conversion: Residential to Commercial,3711,50000
Shocked to be asked a bribe for just adding name to birth cert by very young girl officer at BBMP,15-12-17,"Bangalore,Karnataka",Birth Certificate,3355,250
Traffic police refuse to accept proper payment for fine,15-12-17,"Chennai,TamilNadu",Traffic Violations,3329,80
Paid bribe to Banaswadi traffic police,14-12-17,"Bangalore,Karnataka",Activities on Beat,2031,750
Bribe for an XRay,14-12-17,"Bangalore,Karnataka",Government Hospital,5115,200
Paid 15k to register my new apartment,13-12-17,"Bangalore,Karnataka",Registration of Flat or Apartment,3148,15000
Pursued and purchased Death Certificate after 6months for 500Rs post negotiation,12-12-17,"Bangalore,Karnataka",Death certificate,3512,500
House registration in Sub Registrar office Jigni Near Banarghatta Police station,10-12-17,"Bangalore,Karnataka",Land Registration,4589,9000
PAID BRIBE TO RTO OFFICER IN BANGALORE,09-12-17,"Bangalore,Karnataka",Smartcard License,4989,200
Paid for new labour certificate,08-12-17,"Bangalore,Karnataka",New Labour License and Registration,5241,28000
Police official behaved like looters !!,04-12-17,"Surat,Gujarat",Traffic Violations,5011,1000
I have sticker number plate,03-12-17,"Bangalore,Karnataka",License Plate,6114,100
Traffic police,01-12-17,"Bangalore,Karnataka",Arms License,2742,400
Bribe for  PF WITHDRAWL,29-11-17,"Etah,UttarPradesh",Pension Processing,4594,5000
Ticket collector forces me pay bribe,28-11-17,"Asansol,WestBengal",Berth Allocation,6571,500
Birbe is the norm in this department,27-11-17,"Agra,UttarPradesh",Sales Tax Payment,6726,20000
Bribe paid to sri Rajanna  cto (audit)6.1 at lvo 65 peenya on 30/06/2017,25-11-17,"Bangalore,Karnataka",Assessment,5775,3000
BBMP engineer takes bribe to do work that is part of his job,25-11-17,"Bangalore,Karnataka",Voter Registration,3974,8500
Residential Certificate,25-11-17,"Malappuram,Kerala",Residence certificate,3720,100
Logging complaint for car damages due to road accident,24-11-17,"Bangalore,Karnataka",Lodging Police Complaint,2487,1000
Paid bribe to police for Passport verification,21-11-17,"Bangalore,Karnataka",Reissue of Passport,8150,700
"Paid a bribe at the SDM office in Kalkaji, New Delhi",20-11-17,"NewDelhi,Delhi",Power of Attorney Registration,7015,3500
Forced to pay a bribe,20-11-17,"Chennai,TamilNadu",Customs,5373,7000
Paid Bribe - Adyar tr police,20-11-17,"Chennai,TamilNadu",Traffic Violations,5461,300
Paid Rs. 100 for expired PUC,19-11-17,"Saharanpur,UttarPradesh",Emission Check Certificate,4931,100
Paid Bribe for get rid off False Accussement,19-11-17,"Faizabad,UttarPradesh",False Allegations,4180,6000
Paid 100 bucks to receive 71 a form,16-11-17,"Bijapur,Karnataka",Retrieval of lost items,3876,100
Koratagere BESCOM Corruption,16-11-17,"Tumkur,Karnataka",Transformer Maintenance,6820,50000
Income tax office asking for bribe,15-11-17,"Navsari,Gujarat",Assessment,7177,100000
Bribe paid and got back some amount,14-11-17,"Kolkata,WestBengal",Trade License,5315,800
