Title,Date,Location,Department,Views,Amount(INR)
Parked in No Parking,27-05-20,"Mysore,Karnataka","Traffic Fines, Penalties, Rules",2067,500
Parked In No Parking,27-05-20,"Chamarajanagar,Karnataka","Traffic Fines, Penalties, Rules",1034,400
Risk of covid 19 from opening college,27-05-20,"Muktsar,Punjab",College Leaving Certificate,2169,100
I invested on bitcoin mining and within a week i'm earning up to  five laks,22-05-20,"Mumbai,Maharashtra",Loan Sanctioning,2384,10000
Bribe of new house water connection,21-05-20,"Bangalore,Karnataka",Water Connection,1380,25000
Ten crores of corruption in gst vadodara two,20-05-20,"Abohar,Punjab",Assessment,2438,2000000
Bribe taken by pollution office of Raipur (CG),15-05-20,"Raipur,Chhattisgarh",,1565,200000
Installation on BSNL landline.,14-05-20,"Baramula,JammuandKashmir",Policies and Procedures,1081,1000
RC Airfilter Supercharger Innovations,10-05-20,"NewDelhi,Delhi",Others,2152,1200
To meet the dcp zone 5of Thane i was demanded 50000 by his reader,09-05-20,"Thane,Maharashtra",FIR and Complaints,2167,50000
Bribed the police during my police verification,02-05-20,"Kolkata,WestBengal",Passport Status and Delivery,1642,1000
Even after dc order they have not processed the request,01-05-20,"Tumkur,Karnataka",Land Registration,1953,10000
The whole gvmc engineering dept is corrupted,01-05-20,"Visakhapatnam,AndhraPradesh",Government Personnel,1738,10000
Job of Assistant Teacher,30-04-20,"Mumbai,Maharashtra",Job Application,2606,180000
Complaint against a corrupt Markfed officials,28-04-20,"Mansa,Punjab",Food and Supply,1063,100000
"Paid Bribe To Gokul Township Police, Virar(W)",25-04-20,"Thane,Maharashtra",Others,1922,10000
"Please support us with funds to fight this covid-19 pandemic , covid-19…",24-04-20,"Hubli,Karnataka",Others,1870,2000
"Please support us with funds to fight this covid-19 pandemic , covid-19…",24-04-20,"Hyderabad,Telangana",Others,2050,3000
"Please support us with funds to fight this covid-19 pandemic , covid-19…",24-04-20,"Mumbai,Maharashtra",Others,1767,5000
"Please support us with funds to fight this covid-19 pandemic , covid-19…",24-04-20,"Pune,Maharashtra",Others,1900,2000
Bribe asked for not generating a RC,23-04-20,"Chandigarh,Chandigarh",Autorickshaws,2486,1000
Electric Cigarette Machine | Electric Cigarette Maker,22-04-20,"NewDelhi,Delhi",Others,1976,1200
RC Nitro Supercharger | RC Nitro Engines,21-04-20,"Adilabad,Telangana",Others,1417,1200
Follow Focus | Wireless Follow Focus,21-04-20,"NewDelhi,Delhi",Others,1927,1200
Petty Bribing for absolutely legal acts,20-04-20,"Chennai,TamilNadu","Traffic Fines, Penalties, Rules",2452,200
Nalavariyam for fisherman society,12-04-20,"Chennai,TamilNadu",Government Schemes,3011,100
Police harrasment,11-04-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",2041,500
For loan approal,09-04-20,"Bangalore,Karnataka",Loans,2100,10000
Test33132 w r rq3 r3r  r,06-04-20,"Abohar,Punjab",Excess Baggage,2457,2132
Fully corruption,06-04-20,"Satna,MadhyaPradesh",Government Schemes,1687,100000
Took bribe for registration of marriage,06-04-20,"Bangalore,Karnataka",Marriage Certificate and Registration,2108,3500
Late shop open,04-04-20,"Siwan,Bihar",Police Harassment,3110,500
"Tune-Up Kit for Revolution, Fresh Choice, Just Good Tobacco Electric Cigarette Machine",02-04-20,"Adari,UttarPradesh",Others,2054,12000
Silencer Flight Follow Focus and Zoom System for Aerial Rigs at 24shots.com,02-04-20,"Adoni,AndhraPradesh",Others,2038,1200
Verification for govt job,30-03-20,"Jammu,JammuandKashmir",Background Verification,2716,300
Kaveri water pipe repair,29-03-20,"Bangalore,Karnataka",Services,2091,3000
Passport Verification,26-03-20,"Ernakulam,Kerala",Verification and Certificates,1501,150
Bribe for chai pani,23-03-20,"Mumbai,Maharashtra",FIR and Complaints,2708,5000
Bribe from bar owners,21-03-20,"Tiruchirapalli,Kerala",Autorickshaws,2688,100000
TRANSFER ONE STATE TO OTHER,20-03-20,"NewDelhi,Delhi",Others,2495,250000
Building construction permission,19-03-20,"Rewa,MadhyaPradesh",Building and Housing,1593,2500
Natural Glass Tumblers from Oaxaca Large at Hardworkingproducts.com,17-03-20,"NewDelhi,Delhi",Others,2639,1200
Fine for wearing music player while driving two wheeler,16-03-20,"Chennai,TamilNadu","Traffic Fines, Penalties, Rules",3012,300
"Bribe for taking left without any sign of ""no free left""",16-03-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",2016,300
Ambarnath trafic police taken bribe,16-03-20,"Thane,Maharashtra",Autorickshaws,2779,200
No Chalan,15-03-20,"Viluppuram,TamilNadu","Traffic Fines, Penalties, Rules",1908,1000
Bribe taken by officer in RTO Bhopal,15-03-20,"Bhopal,MadhyaPradesh",Tax and Permits,1755,30000
"Even after paying the legal fees for the license, Rs 500 was taken separately.",14-03-20,"Dungarpur,Rajasthan",Driving Licenses and Tests,1090,500
HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT COPRPORATION HSIIDC FARIDABAD,13-03-20,"Faridabad,Haryana",Land Related,2123,110000
NO REGISTRY DONE IF YOU DO OT PAY 0.5% OF LAND COST TO HSIIDC OFFICE,13-03-20,"Faridabad,Haryana",Others,1726,110000
Khata Bifurcation Charges,12-03-20,"Bangalore,Karnataka",Encumbrance Certificate,3845,2000000
I had to pay a bribe,12-03-20,"Bangalore,Karnataka",Verification and Certificates,1768,500
House Blend Coffee Medium Roast at Hardworkingproducts.com,09-03-20,"Adari,UttarPradesh",Others,2033,1200
Driving other state vehicle without paying road tax,07-03-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1855,500
Took money without giving report,07-03-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1747,500
Buy Supercharger Overdrive Pulleys at RBinnovations.com,05-03-20,"Adityapur,Jharkhand",Others,2131,12000
Mini RootGuard Heavy Duty Gopher Wire Baskets For Sale,05-03-20,"NewDelhi,Delhi",Others,1988,1200
Bribe for legal heir certificate,03-03-20,"Ahmedabad,Gujarat",Aadhaar Card Process,3100,7000
Corruption,03-03-20,"Arcot,TamilNadu",Change of Tariff in Domestic to Commercial,3035,5000
